"Subj_ID";"Trial";"Choice";"Losses";"Wins";"Net_Outcome"
"Subj_1";58;2;0;100;100
"Subj_1";59;1;-150;100;-50
"Subj_1";60;1;-200;100;-100
"Subj_1";61;1;-350;100;-250
"Subj_1";62;2;0;100;100
"Subj_1";63;2;0;100;100
"Subj_1";64;2;0;100;100
"Subj_1";65;2;0;100;100
"Subj_1";66;2;0;100;100
"Subj_1";67;2;0;100;100
"Subj_1";68;4;0;50;50
"Subj_1";69;2;0;100;100
"Subj_1";70;2;-1250;100;-1150
"Subj_1";71;3;0;50;50
"Subj_1";72;3;-50;50;0
"Subj_1";73;4;0;50;50
"Subj_1";74;2;0;100;100
"Subj_1";75;2;0;100;100
"Subj_1";76;2;0;100;100
"Subj_1";77;4;0;50;50
"Subj_1";78;2;0;100;100
"Subj_1";79;2;0;100;100
"Subj_1";80;3;0;50;50
"Subj_1";81;2;0;100;100
"Subj_1";82;2;0;100;100
"Subj_1";83;1;-250;100;-150
"Subj_1";84;2;0;100;100
"Subj_1";85;2;0;100;100
"Subj_1";86;2;0;100;100
"Subj_1";87;4;0;50;50
"Subj_1";88;3;-50;50;0
"Subj_1";89;4;0;50;50
"Subj_1";90;2;-1250;100;-1150
"Subj_1";91;1;0;100;100
"Subj_1";92;1;0;100;100
"Subj_1";93;1;-350;100;-250
"Subj_1";94;2;0;100;100
"Subj_1";95;2;0;100;100
"Subj_1";96;2;0;100;100
"Subj_1";97;4;0;50;50
"Subj_1";98;2;0;100;100
"Subj_1";99;4;0;50;50
"Subj_1";100;2;-1250;100;-1150
"Subj_2";1;2;0;100;100
"Subj_2";2;1;0;100;100
"Subj_2";3;4;0;50;50
"Subj_2";4;4;0;50;50
"Subj_2";5;3;0;50;50
"Subj_2";6;2;0;100;100
"Subj_2";7;3;-50;50;0
"Subj_2";8;2;0;100;100
"Subj_2";9;1;0;100;100
"Subj_2";10;2;0;100;100
"Subj_2";11;2;0;100;100
"Subj_2";12;4;0;50;50
"Subj_2";13;3;0;50;50
"Subj_2";14;1;-150;100;-50
"Subj_2";15;2;0;100;100
"Subj_2";16;2;0;100;100
"Subj_2";17;4;0;50;50
"Subj_2";18;3;0;50;50
"Subj_2";19;1;0;100;100
"Subj_2";20;1;0;100;100
"Subj_2";21;3;-50;50;0
"Subj_2";22;2;0;100;100
"Subj_2";23;4;-250;50;-200
"Subj_2";24;3;-50;50;0
"Subj_2";25;2;-1250;100;-1150
"Subj_2";26;1;0;100;100
"Subj_2";27;1;-200;100;-100
"Subj_2";28;4;0;50;50
"Subj_2";29;2;0;100;100
"Subj_2";30;3;0;50;50
"Subj_2";31;2;-1250;100;-1150
"Subj_2";32;4;0;50;50
"Subj_2";33;1;-350;100;-250
"Subj_2";34;3;-50;50;0
"Subj_2";35;2;0;100;100
"Subj_2";36;4;0;50;50
"Subj_2";37;1;-250;100;-150
"Subj_2";38;3;0;50;50
"Subj_2";39;2;0;100;100
"Subj_2";40;4;0;50;50
"Subj_2";41;2;0;100;100
"Subj_2";42;4;0;50;50
"Subj_2";43;2;0;100;100
"Subj_2";44;4;0;50;50
"Subj_2";45;3;-50;50;0
"Subj_2";46;1;-300;100;-200
"Subj_2";47;2;0;100;100
"Subj_2";48;4;0;50;50
"Subj_2";49;2;0;100;100
"Subj_2";50;4;0;50;50
"Subj_2";51;4;0;50;50
"Subj_2";52;2;0;100;100
"Subj_2";53;3;-50;50;0
"Subj_2";54;4;0;50;50
"Subj_2";55;2;0;100;100
"Subj_2";56;4;0;50;50
"Subj_2";57;2;0;100;100
"Subj_2";58;4;0;50;50
"Subj_2";59;4;0;50;50
"Subj_2";60;3;0;50;50
"Subj_2";61;1;0;100;100
"Subj_2";62;4;-250;50;-200
"Subj_2";63;2;0;100;100
"Subj_2";64;3;0;50;50
"Subj_2";65;1;-200;100;-100
"Subj_2";66;3;-50;50;0
"Subj_2";67;2;0;100;100
"Subj_2";68;2;0;100;100
"Subj_2";69;3;0;50;50
"Subj_2";70;1;-350;100;-250
"Subj_2";71;4;0;50;50
"Subj_2";72;2;0;100;100
"Subj_2";73;4;0;50;50
"Subj_2";74;2;0;100;100
"Subj_2";75;4;0;50;50
"Subj_2";76;2;0;100;100
"Subj_2";77;4;0;50;50
"Subj_2";78;2;-1250;100;-1150
"Subj_2";79;4;0;50;50
"Subj_2";80;3;-50;50;0
"Subj_2";81;1;-250;100;-150
"Subj_2";82;2;0;100;100
"Subj_2";83;4;0;50;50
"Subj_2";84;2;0;100;100
"Subj_2";85;4;0;50;50
"Subj_2";86;2;0;100;100
"Subj_2";87;4;0;50;50
"Subj_2";88;3;-50;50;0
"Subj_2";89;4;0;50;50
"Subj_2";90;2;0;100;100
"Subj_2";91;4;0;50;50
"Subj_2";92;2;0;100;100
"Subj_2";93;3;0;50;50
"Subj_2";94;4;-250;50;-200
"Subj_2";95;2;-1250;100;-1150
"Subj_2";96;4;0;50;50
"Subj_2";97;4;0;50;50
"Subj_2";98;2;0;100;100
"Subj_2";99;2;0;100;100
"Subj_2";100;4;0;50;50
"Subj_3";1;4;0;50;50
"Subj_3";2;2;0;100;100
"Subj_3";3;3;-50;50;0
"Subj_3";4;1;-300;100;-200
"Subj_3";5;4;0;50;50
"Subj_3";6;2;-1250;100;-1150
"Subj_3";7;4;0;50;50
"Subj_3";8;4;0;50;50
"Subj_3";9;4;0;50;50
"Subj_3";10;3;-50;50;0
"Subj_3";11;1;0;100;100
"Subj_3";12;1;-350;100;-250
"Subj_3";13;1;0;100;100
"Subj_3";14;4;0;50;50
"Subj_3";15;1;0;100;100
"Subj_3";16;4;0;50;50
"Subj_3";17;2;0;100;100
"Subj_3";18;4;0;50;50
"Subj_3";19;2;0;100;100
"Subj_3";20;1;0;100;100
"Subj_3";21;2;0;100;100
"Subj_3";22;3;0;50;50
"Subj_3";23;1;-250;100;-150
"Subj_3";24;1;0;100;100
"Subj_3";25;2;0;100;100
"Subj_3";26;1;-150;100;-50
"Subj_3";27;2;0;100;100
"Subj_3";28;4;0;50;50
"Subj_3";29;2;0;100;100
"Subj_3";30;3;0;50;50
"Subj_3";31;2;0;100;100
"Subj_3";32;3;0;50;50
"Subj_3";33;2;0;100;100
"Subj_3";34;1;-200;100;-100
"Subj_3";35;4;-250;50;-200
"Subj_3";36;2;0;100;100
"Subj_3";37;1;0;100;100
"Subj_3";38;1;0;100;100
"Subj_3";39;2;0;100;100
"Subj_3";40;1;-200;100;-100
"Subj_3";41;2;0;100;100
"Subj_3";42;4;0;50;50
"Subj_3";43;2;0;100;100
"Subj_3";44;4;0;50;50
"Subj_3";45;3;0;50;50
"Subj_3";46;4;-250;50;-200
"Subj_3";47;2;0;100;100
"Subj_3";48;2;0;100;100
"Subj_3";49;2;0;100;100
"Subj_3";50;2;-1250;100;-1150
"Subj_3";51;1;-150;100;-50
"Subj_3";52;4;0;50;50
"Subj_3";53;2;0;100;100
"Subj_3";54;1;0;100;100
"Subj_3";55;2;0;100;100
"Subj_3";56;1;-300;100;-200
"Subj_3";57;2;0;100;100
"Subj_3";58;4;0;50;50
"Subj_3";59;2;0;100;100
"Subj_3";60;4;0;50;50
"Subj_3";61;2;0;100;100
"Subj_3";62;1;0;100;100
"Subj_3";63;4;0;50;50
"Subj_3";64;2;0;100;100
"Subj_3";65;4;0;50;50
"Subj_3";66;2;0;100;100
"Subj_3";67;1;0;100;100
"Subj_3";68;2;-1250;100;-1150
"Subj_3";69;4;0;50;50
"Subj_3";70;2;0;100;100
"Subj_3";71;4;0;50;50
"Subj_3";72;2;0;100;100
"Subj_3";73;1;-250;100;-150
"Subj_3";74;4;0;50;50
"Subj_3";75;2;0;100;100
"Subj_3";76;4;0;50;50
"Subj_3";77;2;0;100;100
"Subj_3";78;4;0;50;50
"Subj_3";79;1;-350;100;-250
"Subj_3";80;2;0;100;100
"Subj_3";81;4;0;50;50
"Subj_3";82;2;-1250;100;-1150
"Subj_3";83;4;0;50;50
"Subj_3";84;2;0;100;100
"Subj_3";85;4;0;50;50
"Subj_3";86;2;0;100;100
"Subj_3";87;4;0;50;50
"Subj_3";88;4;-250;50;-200
"Subj_3";89;2;0;100;100
"Subj_3";90;2;0;100;100
"Subj_3";91;3;-50;50;0
"Subj_3";92;2;0;100;100
"Subj_3";93;1;-200;100;-100
"Subj_3";94;4;0;50;50
"Subj_3";95;2;0;100;100
"Subj_3";96;2;0;100;100
"Subj_3";97;2;0;100;100
"Subj_3";98;4;0;50;50
"Subj_3";99;2;0;100;100
"Subj_3";100;2;0;100;100
"Subj_4";1;4;-250;50;-200
"Subj_4";2;3;-50;50;0
"Subj_4";3;4;0;50;50
"Subj_4";4;2;0;100;100
"Subj_4";5;1;-200;100;-100
"Subj_4";6;4;0;50;50
"Subj_4";7;3;0;50;50
"Subj_4";8;2;0;100;100
"Subj_4";9;2;0;100;100
"Subj_4";10;2;-1250;100;-1150
"Subj_4";11;3;0;50;50
"Subj_4";12;3;0;50;50
"Subj_4";13;2;0;100;100
"Subj_4";14;4;0;50;50
"Subj_4";15;3;-50;50;0
"Subj_4";16;4;0;50;50
"Subj_4";17;2;0;100;100
"Subj_4";18;1;-300;100;-200
"Subj_4";19;4;0;50;50
"Subj_4";20;3;0;50;50
"Subj_4";21;4;0;50;50
"Subj_4";22;2;0;100;100
"Subj_4";23;3;0;50;50
"Subj_4";24;4;0;50;50
"Subj_4";25;3;-50;50;0
"Subj_4";26;2;0;100;100
"Subj_4";27;4;0;50;50
"Subj_4";28;3;-50;50;0
"Subj_4";29;2;0;100;100
"Subj_4";30;4;0;50;50
"Subj_4";31;4;-250;50;-200
"Subj_4";32;3;-50;50;0
"Subj_4";33;2;0;100;100
"Subj_4";34;4;0;50;50
"Subj_4";35;3;0;50;50
"Subj_4";36;2;0;100;100
"Subj_4";37;4;0;50;50
"Subj_4";38;3;-50;50;0
"Subj_4";39;4;0;50;50
"Subj_4";40;2;0;100;100
"Subj_4";41;1;0;100;100
"Subj_4";42;4;0;50;50
"Subj_4";43;3;-50;50;0
"Subj_4";44;1;0;100;100
"Subj_4";45;4;0;50;50
"Subj_4";46;2;-1250;100;-1150
"Subj_4";47;4;0;50;50
"Subj_4";48;1;0;100;100
"Subj_4";49;3;-50;50;0
"Subj_4";50;4;0;50;50
"Subj_4";51;2;0;100;100
"Subj_4";52;1;-150;100;-50
"Subj_4";53;4;0;50;50
"Subj_4";54;2;0;100;100
"Subj_4";55;3;0;50;50
"Subj_4";56;4;0;50;50
"Subj_4";57;2;0;100;100
"Subj_4";58;1;0;100;100
"Subj_4";59;2;0;100;100
"Subj_4";60;3;-50;50;0
"Subj_4";61;4;0;50;50
"Subj_4";62;2;0;100;100
"Subj_4";63;1;-250;100;-150
"Subj_4";64;4;0;50;50
"Subj_4";65;3;0;50;50
"Subj_4";66;4;0;50;50
"Subj_4";67;2;0;100;100
"Subj_4";68;3;-50;50;0
"Subj_4";69;4;0;50;50
"Subj_4";70;1;0;100;100
"Subj_4";71;3;0;50;50
"Subj_4";72;4;0;50;50
"Subj_4";73;3;0;50;50
"Subj_4";74;2;0;100;100
"Subj_4";75;1;-350;100;-250
"Subj_4";76;4;0;50;50
"Subj_4";77;3;-50;50;0
"Subj_4";78;4;0;50;50
"Subj_4";79;2;0;100;100
"Subj_4";80;1;-150;100;-50
"Subj_4";81;4;0;50;50
"Subj_4";82;3;0;50;50
"Subj_4";83;2;0;100;100
"Subj_4";84;4;-250;50;-200
"Subj_4";85;3;0;50;50
"Subj_4";86;3;0;50;50
"Subj_4";87;2;0;100;100
"Subj_4";88;1;-300;100;-200
"Subj_4";89;4;0;50;50
"Subj_4";90;3;-50;50;0
"Subj_4";91;4;0;50;50
"Subj_4";92;2;0;100;100
"Subj_4";93;3;0;50;50
"Subj_4";94;4;0;50;50
"Subj_4";95;3;-50;50;0
"Subj_4";96;4;0;50;50
"Subj_4";97;1;0;100;100
"Subj_4";98;4;0;50;50
"Subj_4";99;3;-50;50;0
"Subj_4";100;4;0;50;50
"Subj_5";1;1;0;100;100
"Subj_5";2;2;0;100;100
"Subj_5";3;2;0;100;100
"Subj_5";4;2;-1250;100;-1150
"Subj_5";5;2;0;100;100
"Subj_5";6;3;-50;50;0
"Subj_5";7;4;0;50;50
"Subj_5";8;1;0;100;100
"Subj_5";9;4;0;50;50
"Subj_5";10;1;0;100;100
"Subj_5";11;4;-250;50;-200
"Subj_5";12;1;-250;100;-150
"Subj_5";13;1;-150;100;-50
"Subj_5";14;2;0;100;100
"Subj_5";15;2;0;100;100
"Subj_5";16;1;-350;100;-250
"Subj_5";17;3;-50;50;0
"Subj_5";18;4;0;50;50
"Subj_5";19;4;0;50;50
"Subj_5";20;4;0;50;50
"Subj_5";21;4;0;50;50
"Subj_5";22;1;-300;100;-200
"Subj_5";23;2;0;100;100
"Subj_5";24;2;0;100;100
"Subj_5";25;2;0;100;100
"Subj_5";26;4;0;50;50
"Subj_5";27;2;0;100;100
"Subj_5";28;4;0;50;50
"Subj_5";29;2;0;100;100
"Subj_5";30;4;0;50;50
"Subj_5";31;2;0;100;100
"Subj_5";32;4;0;50;50
"Subj_5";33;2;0;100;100
"Subj_5";34;4;0;50;50
"Subj_5";35;2;0;100;100
"Subj_5";36;4;0;50;50
"Subj_5";37;2;-1250;100;-1150
"Subj_5";38;4;0;50;50
"Subj_5";39;2;0;100;100
"Subj_5";40;4;0;50;50
"Subj_5";41;2;0;100;100
"Subj_5";42;4;0;50;50
"Subj_5";43;1;0;100;100
"Subj_5";44;2;0;100;100
"Subj_5";45;1;0;100;100
"Subj_5";46;2;0;100;100
"Subj_5";47;1;-200;100;-100
"Subj_5";48;1;-350;100;-250
"Subj_5";49;4;0;50;50
"Subj_5";50;4;-250;50;-200
"Subj_5";51;1;-200;100;-100
"Subj_5";52;2;0;100;100
"Subj_5";53;2;0;100;100
"Subj_5";54;2;0;100;100
"Subj_5";55;3;0;50;50
"Subj_5";56;3;-50;50;0
"Subj_5";57;4;0;50;50
"Subj_5";58;3;0;50;50
"Subj_5";59;3;0;50;50
"Subj_5";60;3;-50;50;0
"Subj_5";61;3;0;50;50
"Subj_5";62;3;0;50;50
"Subj_5";63;3;-50;50;0
"Subj_5";64;3;-50;50;0
"Subj_5";65;3;0;50;50
"Subj_5";66;3;0;50;50
"Subj_5";67;4;0;50;50
"Subj_5";68;4;0;50;50
"Subj_5";69;4;0;50;50
"Subj_5";70;3;-50;50;0
"Subj_5";71;3;0;50;50
"Subj_5";72;3;-50;50;0
"Subj_5";73;3;-50;50;0
"Subj_5";74;1;-150;100;-50
"Subj_5";75;2;0;100;100
"Subj_5";76;3;-50;50;0
"Subj_5";77;4;0;50;50
"Subj_5";78;4;-250;50;-200
"Subj_5";79;3;0;50;50
"Subj_5";80;3;0;50;50
"Subj_5";81;3;-50;50;0
"Subj_5";82;3;0;50;50
"Subj_5";83;3;0;50;50
"Subj_5";84;3;-50;50;0
"Subj_5";85;1;0;100;100
"Subj_5";86;1;-250;100;-150
"Subj_5";87;2;-1250;100;-1150
"Subj_5";88;2;0;100;100
"Subj_5";89;2;0;100;100
"Subj_5";90;2;0;100;100
"Subj_5";91;2;0;100;100
"Subj_5";92;2;0;100;100
"Subj_5";93;2;0;100;100
"Subj_5";94;2;-1250;100;-1150
"Subj_5";95;3;0;50;50
"Subj_5";96;3;0;50;50
"Subj_5";97;3;0;50;50
"Subj_5";98;3;-50;50;0
"Subj_5";99;4;0;50;50
"Subj_5";100;4;0;50;50
"Subj_6";1;2;0;100;100
"Subj_6";2;2;0;100;100
"Subj_6";3;3;0;50;50
"Subj_6";4;2;0;100;100
"Subj_6";5;4;0;50;50
"Subj_6";6;1;-300;100;-200
"Subj_6";7;2;0;100;100
"Subj_6";8;3;-50;50;0
"Subj_6";9;4;0;50;50
"Subj_6";10;2;-1250;100;-1150
"Subj_6";11;3;0;50;50
"Subj_6";12;4;0;50;50
"Subj_6";13;1;-150;100;-50
"Subj_6";14;3;-50;50;0
"Subj_6";15;2;0;100;100
"Subj_6";16;2;0;100;100
"Subj_6";17;2;0;100;100
"Subj_6";18;2;0;100;100
"Subj_6";19;2;0;100;100
"Subj_6";20;4;0;50;50
"Subj_6";21;2;0;100;100
"Subj_6";22;2;0;100;100
"Subj_6";23;2;0;100;100
"Subj_6";24;4;0;50;50
"Subj_6";25;3;0;50;50
"Subj_6";26;2;0;100;100
"Subj_6";27;2;-1250;100;-1150
"Subj_6";28;1;0;100;100
"Subj_6";29;2;0;100;100
"Subj_6";30;1;0;100;100
"Subj_6";31;2;0;100;100
"Subj_6";32;4;-250;50;-200
"Subj_6";33;2;0;100;100
"Subj_6";34;2;0;100;100
"Subj_6";35;2;0;100;100
"Subj_6";36;2;0;100;100
"Subj_6";37;1;0;100;100
"Subj_6";38;2;0;100;100
"Subj_6";39;2;0;100;100
"Subj_6";40;2;0;100;100
"Subj_6";41;1;-200;100;-100
"Subj_6";42;2;-1250;100;-1150
"Subj_6";43;2;0;100;100
"Subj_6";44;2;0;100;100
"Subj_6";45;2;0;100;100
"Subj_6";46;2;0;100;100
"Subj_6";47;2;0;100;100
"Subj_6";48;2;-1250;100;-1150
"Subj_6";49;2;0;100;100
"Subj_6";50;2;0;100;100
"Subj_6";51;2;0;100;100
"Subj_6";52;2;0;100;100
"Subj_6";53;2;0;100;100
"Subj_6";54;1;0;100;100
"Subj_6";55;2;0;100;100
"Subj_6";56;2;0;100;100
"Subj_6";57;2;0;100;100
"Subj_6";58;2;0;100;100
"Subj_6";59;2;0;100;100
"Subj_6";60;1;-250;100;-150
"Subj_6";61;2;0;100;100
"Subj_6";62;2;0;100;100
"Subj_6";63;2;0;100;100
"Subj_6";64;2;0;100;100
"Subj_6";65;2;0;100;100
"Subj_6";66;4;0;50;50
"Subj_6";67;2;-1250;100;-1150
"Subj_6";68;2;0;100;100
"Subj_6";69;2;0;100;100
"Subj_6";70;2;0;100;100
"Subj_6";71;2;0;100;100
"Subj_6";72;2;0;100;100
"Subj_6";73;1;0;100;100
"Subj_6";74;2;0;100;100
"Subj_6";75;2;0;100;100
"Subj_6";76;2;0;100;100
"Subj_6";77;2;0;100;100
"Subj_6";78;2;0;100;100
"Subj_6";79;1;-350;100;-250
"Subj_6";80;2;-1250;100;-1150
"Subj_6";81;2;0;100;100
"Subj_6";82;2;0;100;100
"Subj_6";83;2;0;100;100
"Subj_6";84;2;0;100;100
"Subj_6";85;2;0;100;100
"Subj_6";86;3;0;50;50
"Subj_6";87;1;0;100;100
"Subj_6";88;2;0;100;100
"Subj_6";89;2;-1250;100;-1150
"Subj_6";90;2;0;100;100
"Subj_6";91;2;0;100;100
"Subj_6";92;2;0;100;100
"Subj_6";93;2;0;100;100
"Subj_6";94;2;0;100;100
"Subj_6";95;4;0;50;50
"Subj_6";96;1;-150;100;-50
"Subj_6";97;2;0;100;100
"Subj_6";98;2;0;100;100
"Subj_6";99;2;0;100;100
"Subj_6";100;2;0;100;100
"Subj_7";1;3;0;50;50
"Subj_7";2;1;0;100;100
"Subj_7";3;2;0;100;100
"Subj_7";4;4;0;50;50
"Subj_7";5;3;0;50;50
"Subj_7";6;1;0;100;100
"Subj_7";7;1;-300;100;-200
"Subj_7";8;2;0;100;100
"Subj_7";9;4;0;50;50
"Subj_7";10;3;-50;50;0
"Subj_7";11;1;0;100;100
"Subj_7";12;2;0;100;100
"Subj_7";13;4;0;50;50
"Subj_7";14;3;-50;50;0
"Subj_7";15;2;0;100;100
"Subj_7";16;4;0;50;50
"Subj_7";17;1;-250;100;-150
"Subj_7";18;2;0;100;100
"Subj_7";19;2;0;100;100
"Subj_7";20;2;0;100;100
"Subj_7";21;2;-1250;100;-1150
"Subj_7";22;4;0;50;50
"Subj_7";23;3;0;50;50
"Subj_7";24;1;-350;100;-250
"Subj_7";25;3;0;50;50
"Subj_7";26;4;-250;50;-200
"Subj_7";27;2;0;100;100
"Subj_7";28;1;0;100;100
"Subj_7";29;1;0;100;100
"Subj_7";30;3;0;50;50
"Subj_7";31;2;0;100;100
"Subj_7";32;4;0;50;50
"Subj_7";33;4;0;50;50
"Subj_7";34;3;-50;50;0
"Subj_7";35;1;-150;100;-50
"Subj_7";36;2;0;100;100
"Subj_7";37;4;0;50;50
"Subj_7";38;4;0;50;50
"Subj_7";39;4;0;50;50
"Subj_7";40;4;0;50;50
"Subj_7";41;4;0;50;50
"Subj_7";42;2;0;100;100
"Subj_7";43;4;0;50;50
"Subj_7";44;1;-200;100;-100
"Subj_7";45;3;-50;50;0
"Subj_7";46;2;0;100;100
"Subj_7";47;4;0;50;50
"Subj_7";48;2;0;100;100
"Subj_7";49;4;-250;50;-200
"Subj_7";50;2;-1250;100;-1150
"Subj_7";51;4;0;50;50
"Subj_7";52;1;-350;100;-250
"Subj_7";53;3;-50;50;0
"Subj_7";54;1;-250;100;-150
"Subj_7";55;4;0;50;50
"Subj_7";56;2;0;100;100
"Subj_7";57;2;0;100;100
"Subj_7";58;2;0;100;100
"Subj_7";59;4;0;50;50
"Subj_7";60;2;0;100;100
"Subj_7";61;4;0;50;50
"Subj_7";62;2;0;100;100
"Subj_7";63;4;0;50;50
"Subj_7";64;2;0;100;100
"Subj_7";65;2;0;100;100
"Subj_7";66;2;0;100;100
"Subj_7";67;2;0;100;100
"Subj_7";68;4;0;50;50
"Subj_7";69;2;0;100;100
"Subj_7";70;3;-50;50;0
"Subj_7";71;4;0;50;50
"Subj_7";72;2;0;100;100
"Subj_7";73;2;0;100;100
"Subj_7";74;2;0;100;100
"Subj_7";75;4;0;50;50
"Subj_7";76;4;-250;50;-200
"Subj_7";77;4;0;50;50
"Subj_7";78;2;0;100;100
"Subj_7";79;3;-50;50;0
"Subj_7";80;4;0;50;50
"Subj_7";81;2;-1250;100;-1150
"Subj_7";82;4;0;50;50
"Subj_7";83;4;0;50;50
"Subj_7";84;2;0;100;100
"Subj_7";85;2;0;100;100
"Subj_7";86;2;0;100;100
"Subj_7";87;2;0;100;100
"Subj_7";88;2;0;100;100
"Subj_7";89;2;0;100;100
"Subj_7";90;2;0;100;100
"Subj_7";91;2;0;100;100
"Subj_7";92;2;0;100;100
"Subj_7";93;4;0;50;50
"Subj_7";94;4;0;50;50
"Subj_7";95;4;0;50;50
"Subj_7";96;4;0;50;50
"Subj_7";97;1;0;100;100
"Subj_7";98;1;-300;100;-200
"Subj_7";99;4;0;50;50
"Subj_7";100;4;-250;50;-200
"Subj_8";1;4;0;50;50
"Subj_8";2;1;-350;100;-250
"Subj_8";3;1;0;100;100
"Subj_8";4;2;0;100;100
"Subj_8";5;4;0;50;50
"Subj_8";6;3;0;50;50
"Subj_8";7;4;0;50;50
"Subj_8";8;1;0;100;100
"Subj_8";9;3;0;50;50
"Subj_8";10;2;0;100;100
"Subj_8";11;4;0;50;50
"Subj_8";12;1;0;100;100
"Subj_8";13;2;0;100;100
"Subj_8";14;3;-50;50;0
"Subj_8";15;4;0;50;50
"Subj_8";16;4;0;50;50
"Subj_8";17;4;-250;50;-200
"Subj_8";18;1;-200;100;-100
"Subj_8";19;2;0;100;100
"Subj_8";20;2;0;100;100
"Subj_8";21;3;-50;50;0
"Subj_8";22;1;0;100;100
"Subj_8";23;4;0;50;50
"Subj_8";24;2;0;100;100
"Subj_8";25;1;-250;100;-150
"Subj_8";26;4;0;50;50
"Subj_8";27;3;-50;50;0
"Subj_8";28;3;0;50;50
"Subj_8";29;3;-50;50;0
"Subj_8";30;3;0;50;50
"Subj_8";31;2;0;100;100
"Subj_8";32;1;0;100;100
"Subj_8";33;4;0;50;50
"Subj_8";34;4;0;50;50
"Subj_8";35;2;0;100;100
"Subj_8";36;1;-300;100;-200
"Subj_8";37;3;0;50;50
"Subj_8";38;3;-50;50;0
"Subj_8";39;3;-50;50;0
"Subj_8";40;3;-50;50;0
"Subj_8";41;2;0;100;100
"Subj_8";42;2;-1250;100;-1150
"Subj_8";43;2;0;100;100
"Subj_8";44;1;-150;100;-50
"Subj_8";45;1;-150;100;-50
"Subj_8";46;1;0;100;100
"Subj_8";47;1;0;100;100
"Subj_8";48;1;-250;100;-150
"Subj_8";49;4;0;50;50
"Subj_8";50;4;0;50;50
"Subj_8";51;4;0;50;50
"Subj_8";52;2;0;100;100
"Subj_8";53;3;0;50;50
"Subj_8";54;1;-300;100;-200
"Subj_8";55;2;0;100;100
"Subj_8";56;3;-50;50;0
"Subj_8";57;3;0;50;50
"Subj_8";58;2;0;100;100
"Subj_8";59;1;-200;100;-100
"Subj_8";60;2;-1250;100;-1150
"Subj_8";61;2;0;100;100
"Subj_8";62;1;0;100;100
"Subj_8";63;1;-350;100;-250
"Subj_8";64;4;0;50;50
"Subj_8";65;4;0;50;50
"Subj_8";66;3;0;50;50
"Subj_8";67;3;-50;50;0
"Subj_8";68;1;0;100;100
"Subj_8";69;1;0;100;100
"Subj_8";70;1;0;100;100
"Subj_8";71;4;0;50;50
"Subj_8";72;1;-150;100;-50
"Subj_8";73;4;-250;50;-200
"Subj_8";74;1;-350;100;-250
"Subj_8";75;2;0;100;100
"Subj_8";76;3;-50;50;0
"Subj_8";77;2;0;100;100
"Subj_8";78;3;0;50;50
"Subj_8";79;3;0;50;50
"Subj_8";80;3;0;50;50
"Subj_8";81;3;0;50;50
"Subj_8";82;2;0;100;100
"Subj_8";83;2;0;100;100
"Subj_8";84;1;-250;100;-150
"Subj_8";85;4;0;50;50
"Subj_8";86;2;-1250;100;-1150
"Subj_8";87;4;0;50;50
"Subj_8";88;4;0;50;50
"Subj_8";89;1;0;100;100
"Subj_8";90;3;-50;50;0
"Subj_8";91;2;0;100;100
"Subj_8";92;1;0;100;100
"Subj_8";93;1;-300;100;-200
"Subj_8";94;4;0;50;50
"Subj_8";95;1;0;100;100
"Subj_8";96;1;0;100;100
